device_name,n_benign_train_pre_clean,n_benign_test_pre_clean,n_attack_test_pre_clean,benign_fpr_pre_clean,attack_recall_pre_clean,benign_score_mean_pre_clean,benign_score_std_pre_clean,attack_score_mean_pre_clean,attack_score_std_pre_clean,n_benign_train_clean,n_benign_test_clean,n_attack_test_clean,benign_fpr_clean,attack_recall_clean,benign_score_mean_clean,benign_score_std_clean,attack_score_mean_clean,attack_score_std_clean,benign_fpr_delta,attack_recall_delta
Danmini_Doorbell,3500,1500,50000,0.0913333333333333,1.0,0.0883727576238286,0.0704849522948968,-0.1789883852646296,0.0186150189604982,3500,1500,50000,0.1066666666666666,1.0,0.0873824445349524,0.0735985284229705,-0.1617663167915177,0.0329340428678469,0.01533333333333331,0.0
Ecobee_Thermostat,3500,1500,50000,0.0806666666666666,1.0,0.0783559577629091,0.0545444470044642,-0.1351552174923597,0.0421701673437562,3500,1500,50000,0.0913333333333333,0.80022,0.0732216143561097,0.0560788344487329,-0.108352441748338,0.0748265524359386,0.0106666666666667,-0.19977999999999996
Ennio_Doorbell,3500,1500,25000,0.0866666666666666,0.99988,0.1030809310002303,0.0741378826471406,-0.0689336918917957,0.0558693367928969,3500,1500,25000,0.0966666666666666,0.5562,0.0993101927333525,0.0767688621185963,-0.0195474903027283,0.0827802104556038,0.009999999999999995,-0.44367999999999996
Philips_B120N10_Baby_Monitor,3500,1500,50000,0.036,0.8,0.143663631185951,0.0721312295858396,-0.095612820704445,0.0857983409912917,3500,1500,50000,0.0406666666666666,0.6016,0.1403491840626243,0.074642458857297,-0.0597787777740868,0.1194032557029641,0.004666666666666604,-0.19840000000000002
Provision_PT_737E_Security_Camera,3500,1500,50000,0.272,0.80016,0.076996211115988,0.0899496571059446,-0.0788423320272496,0.0800165498807371,3500,1500,50000,0.2726666666666666,0.58034,0.0711028636337269,0.0913283490569451,-0.0375525640037232,0.1022515300688327,0.0006666666666665932,-0.21982000000000002
Provision_PT_838_Security_Camera,3500,1500,50000,0.236,0.79906,0.0749507662777416,0.0749988763609627,-0.0616619166943239,0.0695437074239103,3500,1500,50000,0.2686666666666666,0.55918,0.0692295932877274,0.0791871205880635,-0.0286224545804657,0.0974098646478454,0.03266666666666662,-0.23987999999999998
Samsung_SNH_1011_N_Webcam,3500,1500,25000,0.0586666666666666,1.0,0.1064694334747031,0.0643617201362774,-0.1087493023346455,0.0448505982571775,3500,1500,25000,0.0613333333333333,0.60044,0.0999668634842621,0.0625003121746545,-0.0802288552509541,0.0709468014340885,0.002666666666666699,-0.39956
SimpleHome_XCS7_1002_WHT_Security_Camera,3500,1500,50000,0.1113333333333333,0.99986,0.1094229261445215,0.0836234532813802,-0.1231895394741906,0.062555057717733,3500,1500,50000,0.106,0.79982,0.1034349217707794,0.0830774724694267,-0.1048827673757976,0.0883800980394025,-0.005333333333333301,-0.20004
SimpleHome_XCS7_1003_WHT_Security_Camera,3500,1500,50000,0.078,1.0,0.1271665181321807,0.0868203165081592,-0.1597639650950988,0.0483767234857884,3500,1500,50000,0.0793333333333333,1.0,0.1229413871914349,0.0846207080815698,-0.1376361128455766,0.0652696934230355,0.0013333333333332975,0.0
