threshold,coverage,accuracy,macro_f1,n_samples
0.5,0.9547640449438203,0.916856920940523,0.9034010232108236,84974
0.55,0.7978876404494382,0.9999155072382132,0.9938795049853284,71012
0.6,0.7978651685393259,0.9999295873820588,0.999945162392845,71010
0.65,0.7978426966292135,0.9999436683190627,0.9999552617189135,71008
0.7,0.7978314606741573,0.9999436675257369,0.9999552605954559,71007
0.75,0.7977977528089888,0.9999436651456256,0.9999552572235838,71004
0.8,0.7977640449438202,0.9999436627653132,0.9999552544173734,71001
0.85,0.7977415730337079,0.9999436611783264,0.9999552532939155,70999
0.9,0.7977191011235955,0.9999436595912503,0.9999552521699584,70997
0.95,0.7976853932584269,0.9999577429078513,0.9999682374981366,70994
