held_out_device,macro_f1_original,macro_f1_no_time,macro_f1_delta,accuracy_original,accuracy_no_time,accuracy_delta,tcp_to_udp,udp_to_tcp
Danmini_Doorbell,0.9987635864280722,0.8747536988364861,-0.12400988759158604,0.9987636363636364,0.9050181818181818,-0.09374545454545458,4997,0
Ecobee_Thermostat,0.9983635148074824,0.8788189940779181,-0.11954452072956434,0.9983636363636365,0.909,-0.08936363636363642,4994,0
Ennio_Doorbell,0.9944652872396826,0.7780662760382038,-0.21639901120147886,0.9944666666666668,0.8334,-0.1610666666666668,4994,1
Philips_B120N10_Baby_Monitor,0.99676290122824,0.8787306766231004,-0.11803222460513951,0.9967636363636364,0.9088363636363636,-0.08792727272727285,4992,0
Provision_PT_737E_Security_Camera,0.9929026087277368,0.875832619728884,-0.11706998899885279,0.992909090909091,0.906,-0.08690909090909094,4994,0
Provision_PT_838_Security_Camera,0.9999636363632728,0.8788554921268059,-0.12110814423646687,0.9999636363636364,0.9090909090909092,-0.09087272727272722,4997,0
Samsung_SNH_1011_N_Webcam,0.9994333320128608,0.778287957296127,-0.2211453747167338,0.9994333333333332,0.8335,-0.16593333333333316,4992,0
SimpleHome_XCS7_1002_WHT_Security_Camera,0.999818183629091,0.8789925915818517,-0.1208255920472393,0.9998181818181818,0.9091454545454546,-0.09067272727272724,4992,0
SimpleHome_XCS7_1003_WHT_Security_Camera,0.9918481904337876,0.8758589559837046,-0.11598923445008302,0.9918545454545454,0.9060909090909092,-0.08576363636363626,4998,0
