held_out_device,class,f1_original,f1_no_time,f1_delta,precision_no_time,recall_no_time,support_no_time
Danmini_Doorbell,gafgyt_tcp,0.999899989999,0.0007996801279488,-0.9991003098710511,1.0,0.0004,5000
Danmini_Doorbell,gafgyt_udp,0.999900009999,0.6668000266720011,-0.33309998332699886,0.500150045013504,1.0,5000
Ecobee_Thermostat,gafgyt_tcp,0.9912236457177444,0.0019980019980019,-0.9892256437197424,1.0,0.001,5000
Ecobee_Thermostat,gafgyt_udp,0.991375037176564,0.6667111229661243,-0.3246639142104396,0.5001000400160064,0.9998,5000
Ennio_Doorbell,gafgyt_tcp,0.9835365853658536,0.0019976028765481,-0.9815389824893055,0.8333333333333334,0.001,5000
Ennio_Doorbell,gafgyt_udp,0.9840551181102364,0.6668000533546752,-0.3172550647555612,0.5002001200720432,0.9998,5000
Philips_B120N10_Baby_Monitor,gafgyt_tcp,0.9839496139780576,0.003193612774451,-0.9807560012036066,0.8,0.0016,5000
Philips_B120N10_Baby_Monitor,gafgyt_udp,0.9844426939740056,0.666844563042028,-0.31759813093197764,0.5003003003003003,0.9996,5000
Provision_PT_737E_Security_Camera,gafgyt_tcp,0.9677019915385408,0.0023971234518577,-0.965304868086683,1.0,0.0012,5000
Provision_PT_737E_Security_Camera,gafgyt_udp,0.9695382227396198,0.6666666666666666,-0.30287155607295313,0.5001501351216094,0.9994,5000
Provision_PT_838_Security_Camera,gafgyt_tcp,0.999900009999,0.0011992804317409,-0.9987007295672591,1.0,0.0006,5000
Provision_PT_838_Security_Camera,gafgyt_udp,0.999899989999,0.6667111229661243,-0.33318886703287565,0.5001000400160064,0.9998,5000
Samsung_SNH_1011_N_Webcam,gafgyt_tcp,0.998397435897436,0.0031942503493711,-0.9952031855480649,0.8888888888888888,0.0016,5000
Samsung_SNH_1011_N_Webcam,gafgyt_udp,0.9983025461807288,0.666933493429391,-0.33136905275133777,0.5003503152837554,0.9998,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_tcp,0.999899989999,0.0027960854803275,-0.9971039045186725,1.0,0.0014,5000
SimpleHome_XCS7_1002_WHT_Security_Camera,gafgyt_udp,0.999899989999,0.6670224119530416,-0.3328775780459584,0.500400320256205,1.0,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_tcp,0.967155546374716,0.0007996801279488,-0.9663558662467672,1.0,0.0004,5000
SimpleHome_XCS7_1003_WHT_Security_Camera,gafgyt_udp,0.9690861517588916,0.6663112295901367,-0.3027749221687549,0.4996501749125437,0.9998,5000
